rowid,profId,univId,profDept,Class,Easiness,Helpfulness,Clarity,RaterInterest
356,158893,825,Economics,macro103,2,1,1,4
357,158893,825,Economics,Eco102,1,1,1,1
358,158893,825,Economics,ECON335,2,3,4,2
359,158893,825,Economics,Econ335,1,2,5,5
360,158893,825,Economics,Econ300,3,4,5,3
361,158893,825,Economics,econ103,2,2,4,1
362,158893,825,Economics,ECON335,4,3,4,4
363,158893,825,Economics,IntroMcro,3,2,3,5
364,158893,825,Economics,macro101,3,5,5,4
365,158893,825,Economics,ECO101,1,1,1,1
366,158893,825,Economics,econ300,2,3,4,4
367,158893,825,Economics,ECON102,3,3,3,4
368,158893,825,Economics,MACR100,3,1,5,4
369,158893,825,Economics,Macro103,3,4,4,4
370,158893,825,Economics,IntroMacr,2,2,3,2
371,158893,825,Economics,Econ335,1,1,1,1
372,158893,825,Economics,ECO200,4,5,4,3
373,158893,825,Economics,Econ200,3,3,4,3
374,158893,825,Economics,Macro103,1,2,2,2
375,158893,825,Economics,Macro101,5,4,3,3
376,158893,825,Economics,econ200,3,2,5,3
377,158893,825,Economics,econ200,3,3,4,3
378,158893,825,Economics,ECON103,2,1,2,4
379,158893,825,Economics,ECON103,4,4,5,3
380,158893,825,Economics,econ300,2,1,3,1
381,158893,825,Economics,ECON300,2,4,4,3
382,158893,825,Economics,econ300,3,3,4,3
383,158893,825,Economics,ECON103,1,3,5,1
384,158893,825,Economics,ECONTRAD,3,1,4,3
385,158893,825,Economics,Macro103,2,5,2,4
386,158893,825,Economics,MacroEcon,3,2,4,3
387,158893,825,Economics,ECON102,2,3,2,3
388,158893,825,Economics,Macro103,3,1,1,4
389,158893,825,Economics,macro102,1,2,2,4
390,158893,825,Economics,Macro103,3,4,5,5
391,158893,825,Economics,ECON103,1,1,1,1
392,158893,825,Economics,Macro101,2,1,1,2
393,158893,825,Economics,Macro103,1,1,1,3
394,158893,825,Economics,Econ335,3,4,4,3
395,158893,825,Economics,Trade335,4,3,3,3
396,158893,825,Economics,Econ200,1,4,5,3
397,158893,825,Economics,MACRO103,2,4,5,4
398,158893,825,Economics,IntroMacr,2,3,4,4
399,158893,825,Economics,Econ203,4,5,5,5
400,158893,825,Economics,Macro103,3,3,4,4
401,158893,825,Economics,MACRO103,2,3,4,4
402,158893,825,Economics,Macro203,5,5,5,5
403,158893,825,Economics,Econ200,4,3,3,4
404,158893,825,Economics,econ200,1,1,3,3
405,158893,825,Economics,Macro220,2,2,3,2
406,158893,825,Economics,Macro102,2,2,4,3
407,158893,825,Economics,Econ200,1,1,1,1
408,158893,825,Economics,Macro102,2,2,5,1
409,158893,825,Economics,ECON300,1,1,3,4
410,158893,825,Economics,INTLTRAD,5,5,5,3
411,158893,825,Economics,IntEc300,1,1,1,1
412,158893,825,Economics,Macro103,4,4,5,3
413,158893,825,Economics,Macro1,5,3,4,3
414,158893,825,Economics,ECO301,5,5,3,4
415,158893,825,Economics,InterTrad,4,5,5,5
416,158893,825,Economics,MACRO103,3,3,4,2
417,158893,825,Economics,Macro101,1,5,5,5
418,158893,825,Economics,Econ324,2,4,5,3
419,158893,825,Economics,econ335,2,5,5,3
420,158893,825,Economics,Micro220,3,3,5,3
421,158893,825,Economics,Econ335,3,3,4,4
422,158893,825,Economics,Macro103,2,2,3,3
423,158893,825,Economics,macro103,1,1,2,3
424,158893,825,Economics,Micro102,2,1,4,3
425,158893,825,Economics,Macro103,2,2,2,3
426,158893,825,Economics,ECON103,3,3,3,3
427,158893,825,Economics,econ103,3,3,3,3
428,158893,825,Economics,ECON102,3,2,3,3
429,158893,825,Economics,macro103,3,2,2,4
430,158893,825,Economics,MACRO101,4,4,5,5
431,158893,825,Economics,ECON200,5,3,2,4
432,158893,825,Economics,Econ102,2,1,5,4
433,158893,825,Economics,macro103,4,2,3,3
434,158893,825,Economics,InterMac,5,5,5,3
435,158893,825,Economics,Econ101,4,3,4,5
436,158893,825,Economics,econ103,1,1,3,3
437,158893,825,Economics,micro102,4,4,4,3
438,158893,825,Economics,ECON102,4,2,1,4
439,158893,825,Economics,Econ103,1,1,1,1
440,158893,825,Economics,Micro103,1,1,1,1
441,158893,825,Economics,INTLTRAD,1,1,1,1
442,158893,825,Economics,micro102,4,4,5,4
443,158893,825,Economics,ECON103,1,1,1,1
444,158893,825,Economics,Econ102,4,3,4,5
445,158893,825,Economics,Micro101,1,2,3,1
446,158893,825,Economics,ECON335,2,4,3,3
447,158893,825,Economics,econ102,1,4,4,4
448,158893,825,Economics,Macro103,2,5,5,2
449,158893,825,Economics,econ102,2,4,4,2
450,158893,825,Economics,ECON200,2,4,4,2
451,158893,825,Economics,ECON103,1,1,1,4
452,158893,825,Economics,IntroMacr,4,3,5,4
453,158893,825,Economics,econ102,2,2,3,4
454,158893,825,Economics,econ102,1,1,2,4
455,158893,825,Economics,Econ102,1,2,2,4
456,158893,825,Economics,mc190,2,2,3,4
457,158893,825,Economics,ManagEcon,1,2,2,2
458,158893,825,Economics,macrointr,3,2,3,3
459,158893,825,Economics,IntroMacr,1,1,5,3
460,158893,825,Economics,ECONENGR,1,1,4,3
461,158893,825,Economics,Macro101,2,3,4,3
462,158893,825,Economics,Macro103,2,2,4,3
463,158893,825,Economics,IntrMacr,4,4,4,4
464,158893,825,Economics,Macroecon,5,5,4,1
465,158893,825,Economics,macro103,4,3,5,4
466,158893,825,Economics,Macro103,1,1,1,1
467,158893,825,Economics,econ103,5,5,5,5
468,158893,825,Economics,MACROEcon,4,5,5,5
469,158893,825,Economics,mANAG308,3,5,5,5
470,158893,825,Economics,ECON103,3,5,5,5
471,158893,825,Economics,macroSECT,3,4,5,2
472,158893,825,Economics,Macro101,1,1,1,1
473,158893,825,Economics,Macro103,1,1,1,1
474,158893,825,Economics,ECON103,4,3,5,5
475,158893,825,Economics,macro103,2,2,1,1
476,158893,825,Economics,"Intro to Macro",1,1,1,1
477,158893,825,Economics,"Intro to Macro",1,4,5,3
478,158893,825,Economics,"Intro Macro",2,3,4,3
479,158893,825,Economics,"220:330 IntlEco",1,2,1,1
480,158893,825,Economics,"Intro to Macro",3,3,4,4
481,158893,825,Economics,"Intro to Macro",1,1,1,1
482,158893,825,Economics,"Intl Econ",3,2,2,5
483,158893,825,Economics,"managerial econ",1,1,2,1
484,158893,825,Economics,"intro to macro",1,5,5,3
485,158893,825,Economics,"econ prin &prob",1,1,1,2
486,158893,825,Economics,"intro to macro",3,3,5,1
487,158893,825,Economics,macro,3,3,3,3
488,158893,825,Economics,"Intro Macro",3,4,5,3
489,158893,825,Economics,"Into to Macro",5,3,5,4
490,158893,825,Economics,macro,1,2,2,2
491,158893,825,Economics,"Econ- Prin&Pblm",2,1,2,3
492,158893,825,Economics,Macroecono-mics,4,5,5,5
